,country,suicides_no,population,suicides_rate_%,lat,lng
0,Argentina,15321,192171651,0.007972559906872007,-38.416097,-63.61667199999999
1,Armenia,344,13774584,0.0024973530961080203,40.069099,45.038189
2,Australia,12891,106496133,0.012104664870789253,-25.274398,133.775136
3,Austria,6433,40215623,0.015996270901982544,47.516231,14.550072
4,Bahrain,70,5872858,0.0011919239320957531,26.0667,50.5577
5,Belgium,9921,52113931,0.01903713615463013,50.503887,4.469936
6,Belize,107,1493072,0.007166432697150572,17.189877,-88.49765
7,Brazil,50690,927621774,0.005464511659899867,-14.235004,-51.92528
8,Bulgaria,3939,34983437,0.011259614085374174,42.733883,25.48583
9,Chile,9396,80386992,0.011688458252051526,-35.675147,-71.542969
10,Colombia,10464,215151370,0.004863552576960119,4.570868,-74.297333
11,Costa Rica,1508,21461290,0.007026604644921158,9.748916999999999,-83.753428
12,Croatia,3668,20522197,0.017873330033816553,45.1,15.2000001
13,Cuba,7534,53850518,0.01399058036916191,21.521757,-77.781167
14,Cyprus,193,4020040,0.004800947254256177,35.126413,33.429859
15,Czech Republic,7816,49674625,0.01573439155303135,49.81749199999999,15.472962
16,Denmark,3052,26371338,0.011573170841767679,56.26392,9.501785
17,Ecuador,4216,69109457,0.006100467552508769,-1.831239,-78.18340599999999
18,El Salvador,2266,28118640,0.00805871123212218,13.794185,-88.89653
19,Estonia,1137,6240231,0.018220479338024505,58.595272,25.0136071
20,Finland,4415,25555306,0.017276255662913995,61.92410999999999,25.7481511
21,France,49011,298225406,0.016434213522371732,46.227638,2.213749
22,Georgia,666,20260500,0.003287184422891834,32.1656221,-82.9000751
23,Germany,50387,390051679,0.012918031818035067,51.165691,10.451526
24,Greece,2460,52815746,0.004657701890644506,39.074208,21.824312
25,Grenada,3,477777,0.0006279079989199983,12.1165,-61.67899999999999
26,Guatemala,2098,66623986,0.003149016031553561,15.783471,-90.23075899999999
27,Hungary,11275,47308825,0.02383276270336454,47.162494,19.5033041
28,Iceland,203,1492261,0.013603518419364975,64.963051,-19.020835
29,Ireland,2555,21259933,0.012017911815620492,53.1423672,-7.692053599999999
30,Israel,2073,35508940,0.005837966438874267,31.046051,34.851612
31,Italy,20836,286647084,0.007268868641273183,41.87194,12.56738
32,Japan,134863,603577267,0.022343949544408537,36.204824,138.252924
33,Kazakhstan,16881,75234292,0.022437906373864724,48.019573,66.923684
34,Kuwait,245,17401384,0.001407933989618297,29.31166,47.481766
35,Kyrgyzstan,2402,24749084,0.009705409703243966,41.20438,74.766098
36,Latvia,2087,9679543,0.021560935263162734,56.879635,24.603189
37,Lithuania,4978,14255516,0.034919816301282956,55.169438,23.881275
38,Luxembourg,267,2505570,0.010656257857493504,49.815273,6.129582999999999
39,Malta,130,1999763,0.006500770341285442,35.937496,14.375416
40,Mauritius,549,5817644,0.009436809815107285,-20.348404,57.55215200000001
41,Mexico,27686,546629023,0.005064860963300883,23.634501,-102.552784
42,Netherlands,8705,79102090,0.011004766119327568,52.132633,5.291265999999999
43,Nicaragua,1698,26266150,0.006464594163971498,12.865416,-85.207229
44,Norway,2763,23527553,0.01174367772118078,60.47202399999999,8.468945999999999
45,Panama,707,16981450,0.0041633664969716955,8.537981,-80.782127
46,Paraguay,1498,28504286,0.005255350019993485,-23.442503,-58.443832
47,Poland,30990,180132798,0.017203974148006073,51.919438,19.145136
48,Portugal,5466,50088346,0.01091271810013451,39.39987199999999,-8.224454
49,Puerto Rico,1253,17370970,0.0072131838348693245,18.220833,-66.590149
50,Qatar,232,9933853,0.002335448289802557,25.354826,51.183884
51,Republic of Korea,73883,240131758,0.030767692126753184,35.907757,127.766922
52,Romania,12413,97637524,0.012713349838736182,45.943161,24.96676
53,Russian Federation,149268,673708307,0.02215617626338694,61.52401,105.318756
54,Saint Lucia,50,818721,0.006107086541080539,13.909444,-60.978893
55,Saint Vincent and Grenadines,22,501328,0.004388344556856988,12.984305,-61.287228
56,Serbia,6037,34346722,0.017576640938253146,44.016521,21.005859
57,Seychelles,27,412212,0.006550027655672324,-4.679574,55.491977
58,Singapore,1708,18160126,0.009405221087122414,1.352083,103.819836
59,Slovenia,2123,9735385,0.021807047178925128,46.151241,14.995463
60,South Africa,2405,237572023,0.0010123245867212235,-30.559482,22.937506
61,Spain,17661,219957182,0.008029289991540262,40.46366700000001,-3.74922
62,Suriname,655,2434597,0.02690383665140473,3.919305,-56.027783
63,Sweden,5785,44795283,0.012914306178175055,60.12816100000001,18.643501
64,Switzerland,5181,38043717,0.01361854310923404,46.818188,8.227511999999999
65,Thailand,19532,302320257,0.006460698397725959,15.870032,100.992541
66,Turkey,7549,344797699,0.0021893997616265998,38.963745,35.243322
67,Turkmenistan,683,23426620,0.0029154867411517326,38.969719,59.556278
68,United Kingdom,22637,297656286,0.007605080445033841,55.378051,-3.435973
69,United States,202378,1464052699,0.013823136294084997,37.09024,-95.712891
70,Uzbekistan,8984,132164093,0.006797610301006643,41.377491,64.585262
